Row ID,Order ID,Order Date,Order (M/Y),Quantity, Quote ,Discount %, Rate , Sale Amount ,Customer Name,Company Name,Sector,Industry,City,Zip Code,Country,Region,Project Complete Date,Days to Complete,Product Key,Product Category,Product Sub Category,Consultant,Manager,Hourly Wage,RowCount,Wage Margin
2332,16804,3/1/15,3/1/15,36," $4,499 ",5%, $125 ," $4,273.95 ",Ed Byrd,DIRECTV,Consumer Services,Telecommunications Equipment,Duncanville,75116,Italy,Central,3/11/15,10,Development - Python,Development,Python,Liam Franklin,Josh Martinez,52,1,58%
2333,16805,12/1/14,12/1/14,29," $5,633 ",8%, $194 ," $5,182.81 ",Alice Page,"Charter Communications, Inc.",Consumer Services,Television Services,Kearns,84118,Slovakia,Central,1/1/15,31,Development - Java,Development,Business Logic,Alexander Edison,Josh Martinez,70,1,64%
2334,16805,12/1/14,12/1/14,26," $3,249 ",4%, $125 ," $3,119.23 ",Alice Page,"Charter Communications, Inc.",Consumer Services,Television Services,Kearns,84118,Croatia,Central,1/1/15,31,Development - Python,Development,Business Model,Liam Franklin,Josh Martinez,52,1,58%
2335,16806,6/1/13,6/1/13,4, $815 ,10%, $204 , $733.22 ,Vicky Dominguez,DISH Network Corporation,Consumer Services,Television Services,Rochester Hills,48307,Portugal,West,6/18/13,17,Consulting - Business Model,Consulting,Python,Abigail Young,Bob Turner,50,1,75%
2336,16806,6/1/13,6/1/13,18," $5,260 ",0%, $292 ," $5,260.26 ",Vicky Dominguez,DISH Network Corporation,Consumer Services,Television Services,Rochester Hills,48307,UnitedKingdom,West,6/19/13,18,Consulting - Market Research,Consulting,Business Model,Olivia Sullivan,Bob Turner,53,1,82%
2337,16807,1/1/15,1/1/15,48," $5,999 ",8%, $125 ," $5,518.65 ",Quincy Patterson,"Ross Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,Avondale,85323,Slovakia,Central,1/16/15,15,Development - Python,Development,Python,Noah Smith,Josh Martinez,59,1,53%
2338,16807,1/1/15,1/1/15,30," $3,749 ",9%, $125 ," $3,411.66 ",Quincy Patterson,"Ross Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,Bullhead City,86442,Greece,South,1/17/15,16,Development - Python,Development,.Net,Daniel Tusk,Frank Mitchell,45,1,64%
2339,16834,10/1/13,10/1/13,23," $2,874 ",7%, $125 ," $2,673.09 ",Sue Prescott,Liberty Interactive Corporation,Consumer Services,Catalog/Specialty Distribution,Caldwell,83605,UnitedKingdom,West,10/30/13,29,Development - Python,Development,Market Research,Elizabeth Carter,Bob Turner,52,1,58%
2340,16834,10/1/13,10/1/13,33," $6,411 ",8%, $194 ," $5,897.68 ",Sue Prescott,Liberty Interactive Corporation,Consumer Services,Catalog/Specialty Distribution,Oakland Park,33334,Bulgaria,Central,10/25/13,24,Development - Java,Development,Database,Olivia Sullivan,Josh Martinez,53,1,73%
2341,16837,1/1/14,1/1/14,4, $503 ,9%, $126 , $457.39 ,Jill Caudle,Intuit Inc.,Technology,Computer Software: Prepackaged Software,Deland,32720,Austria,Central,1/22/14,21,Training - Development,Training,.Net,Ethan Bird,Josh Martinez,60,1,52%
2342,16864,10/1/15,10/1/15,42," $9,935 ",5%, $237 ," $9,438.18 ",Cindy Mathis,Liberty Global plc,Consumer Services,Television Services,Peoria,85345,Romania,Central,10/29/15,28,Training - Javascript,Training,.Net,Isabella Douglas,Josh Martinez,75,1,68%
2343,16866,2/1/15,2/1/15,43," $12,566 ",6%, $292 ," $11,812.21 ",Penelope Pistole,Microsoft Corporation,Technology,Computer Software: Prepackaged Software,Miramar,33023,Portugal,West,2/7/15,6,Consulting - Market Research,Consulting,Business Logic,Sophia Dixon,Bob Turner,71,1,76%
2344,16897,6/1/15,6/1/15,1, $126 ,2%, $126 , $123.14 ,Sally Price,Comcast Corporation,Consumer Services,Television Services,North Ridgeville,44039,Croatia,Central,6/17/15,16,Training - Development,Training,Python,Mia Moore,Josh Martinez,51,1,59%
2345,16897,6/1/15,6/1/15,48," $6,918 ",6%, $144 ," $6,502.98 ",Sally Price,Comcast Corporation,Consumer Services,Television Services,North Ridgeville,44039,Germany,West,6/17/15,16,Development - Business Logic,Development,Business Logic,Alexander Edison,Bob Turner,70,1,51%
2346,16932,4/1/13,4/1/13,25," $3,124 ",9%, $125 ," $2,843.05 ",Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Woodridge,60517,Slovenia,Central,4/16/13,15,Development - Python,Development,Tableau,Michael Alister,Josh Martinez,68,1,46%
2347,16932,4/1/13,4/1/13,20," $2,883 ",9%, $144 ," $2,623.10 ",Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Woodridge,60517,Poland,North,4/15/13,14,Development - Business Logic,Development,Development,Elizabeth Carter,#N/A,52,1,64%
2348,16935,12/1/15,12/1/15,3, $375 ,6%, $125 , $352.41 ,Michael Harton,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Spartanburg,29301,Ireland,West,12/16/15,15,Development - Python,Development,Market Research,Alexander Edison,Bob Turner,70,1,44%
2349,16935,12/1/15,12/1/15,43," $6,197 ",9%, $144 ," $5,639.67 ",Michael Harton,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Spartanburg,29301,Austria,Central,12/17/15,16,Development - Business Logic,Development,Development,Ava Wilson,Josh Martinez,67,1,54%
2350,16961,1/1/12,1/1/12,27," $5,499 ",6%, $204 ," $5,169.21 ",Tracy Hale,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Herndon,20170,Denmark,West,1/7/12,6,Consulting - Business Model,Consulting,Front End Web,Ava Wilson,Bob Turner,67,1,67%
2351,16961,1/1/12,1/1/12,34," $4,249 ",1%, $125 ," $4,206.47 ",Tracy Hale,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Herndon,20170,Italy,Central,1/8/12,7,Development - Python,Development,Big Data,William Bufont,Josh Martinez,62,1,50%
2352,16967,8/1/14,8/1/14,5," $1,018 ",8%, $204 , $936.89 ,Brad Creighton,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Saint Cloud,56301,Slovenia,Central,8/21/14,20,Consulting - Business Model,Consulting,Python,Emma Watson,Josh Martinez,67,1,67%
2353,16967,8/1/14,8/1/14,34," $4,249 ",6%, $125 ," $3,994.02 ",Brad Creighton,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Saint Cloud,56301,Slovenia,Central,8/19/14,18,Development - Python,Development,Big Data,Alexander Edison,Josh Martinez,70,1,44%
2354,16992,12/1/13,12/1/13,15," $3,053 ",8%, $204 ," $2,808.53 ",Ed Leatherbury,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores,Roseville,95661,CzechRepublic,Central,12/13/13,12,Development - .Net,Development,Market Research,Emma Watson,Josh Martinez,67,1,67%
2355,16993,11/1/14,11/1/14,8," $2,338 ",5%, $292 ," $2,221.00 ",Erin Eichhorn,"Kraft Foods Group, Inc.",Consumer Non-Durables,Packaged Foods,Auburn,36830,Finland,North,11/16/14,15,Consulting - Market Research,Consulting,SQL,Jayden Hamilton,#N/A,71,1,76%
2356,16995,12/1/13,12/1/13,42," $10,363 ",6%, $247 ," $9,741.54 ",Darrin Ulpright,"Tesla Motors, Inc.",Capital Goods,Auto Manufacturing,Modesto,95351,Estonia,North,12/20/13,19,Development - Database,Development,Python,Emma Watson,#N/A,67,1,73%
2357,16999,1/1/12,1/1/12,18," $3,663 ",9%, $204 ," $3,333.61 ",Stuart Engle,The Priceline Group Inc.,Miscellaneous,Business Services,Hamilton,45011,Croatia,Central,1/21/12,20,Development - .Net,Development,Strategy,Madison Hill,Josh Martinez,58,1,72%
2358,17024,10/1/12,10/1/12,31," $6,309 ",2%, $204 ," $6,182.84 ",Tamara O'Brill,Symantec Corporation,Technology,Computer Software: Prepackaged Software,Pharr,78577,Finland,North,10/15/12,14,Development - .Net,Development,Development,Alexander Edison,#N/A,70,1,66%
2359,17028,10/1/12,10/1/12,19," $2,738 ",2%, $144 ," $2,683.63 ",Jennifer Mitchum,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Hattiesburg,39401,Ireland,West,10/17/12,16,Development - Business Logic,Development,Python,Madison Hill,Bob Turner,58,1,60%
2360,17058,1/1/14,1/1/14,15," $1,875 ",4%, $125 ," $1,799.56 ",Gary Shillingsburg,Liberty Interactive Corporation,Consumer Services,Catalog/Specialty Distribution,Bradenton,34210,CzechRepublic,Central,1/2/14,1,Development - Python,Development,Business Model,Daniel Tusk,Josh Martinez,45,1,64%
2361,17061,10/1/15,10/1/15,28," $4,036 ",1%, $144 ," $3,995.18 ",Ivan Wooten,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Kingsville,78363,Estonia,North,11/1/15,31,Development - Business Logic,Development,Market Research,William Bufont,#N/A,62,1,57%
2362,17090,4/1/13,4/1/13,30," $6,449 ",4%, $215 ," $6,190.92 ",Greg Maxwell,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Jeffersonville,47130,Finland,North,4/30/13,29,Training - Tableau,Training,Python,Jayden Hamilton,#N/A,71,1,67%
2363,17090,4/1/13,4/1/13,26," $3,267 ",5%, $126 ," $3,103.69 ",Greg Maxwell,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Jeffersonville,47130,Lithuania,North,5/3/13,32,Training - Development,Training,Javascript,Olivia Sullivan,#N/A,53,1,58%
2364,17091,7/1/15,7/1/15,45," $13,151 ",0%, $292 ," $13,150.66 ",Kean French,"Automatic Data Processing, Inc.",Technology,EDP Services,Lorain,44052,Slovakia,Central,7/22/15,21,Consulting - Market Research,Consulting,Java,Olivia Sullivan,Josh Martinez,53,1,82%
2365,17093,2/1/15,2/1/15,50," $6,283 ",10%, $126 ," $5,654.50 ",Janet Daniels,"Discovery Communications, Inc.",Consumer Services,Television Services,La Quinta,92253,France,West,2/13/15,12,Training - Development,Training,Big Data,Madison Hill,Bob Turner,58,1,54%
2366,17124,10/1/12,10/1/12,39," $6,240 ",5%, $160 ," $5,928.22 ",William Jacobs,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing",Kennesaw,30144,Hungary,Central,10/26/12,25,Development - Front End Web,Development,Java,Daniel Tusk,Josh Martinez,45,1,72%
2367,17152,3/1/15,3/1/15,32," $9,986 ",6%, $312 ," $9,386.45 ",Dave Hart,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Brownsville,78521,Sweden,North,3/13/15,12,Development - Big Data,Development,Strategy,Emily Taylor,#N/A,62,1,80%
2368,17155,1/1/12,1/1/12,36," $4,499 ",0%, $125 ," $4,498.90 ",Cari Radford,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Provo,84604,Croatia,Central,1/29/12,28,Development - Python,Development,Development,Emily Taylor,Josh Martinez,62,1,50%
2369,17155,1/1/12,1/1/12,31," $9,674 ",3%, $312 ," $9,383.33 ",Cari Radford,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Provo,84604,Spain,West,1/28/12,27,Development - Big Data,Development,Strategy,Emily Taylor,Bob Turner,62,1,80%
2370,17157,9/1/15,9/1/15,31," $9,059 ",9%, $292 ," $8,244.00 ",Rick O'Donnell,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,East Hartford,06108,Malta,South,9/23/15,22,Consulting - Market Research,Consulting,Big Data,Elizabeth Carter,Frank Mitchell,52,1,82%
2371,17186,1/1/12,1/1/12,49," $11,022 ",8%, $225 ," $10,140.55 ",Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Mount Lebanon,15228,Netherlands,West,1/28/12,27,Training - SQL,Training,Market Research,Elizabeth Carter,Bob Turner,52,1,77%
2372,17186,1/1/12,1/1/12,11," $1,375 ",7%, $125 ," $1,278.44 ",Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Mount Lebanon,15228,Romania,Central,1/28/12,27,Development - Python,Development,Python,Noah Smith,Josh Martinez,59,1,53%
2373,17187,9/1/15,9/1/15,4, $954 ,9%, $239 , $868.35 ,Bill Ocampo,Symantec Corporation,Technology,Computer Software: Prepackaged Software,San Juan,78589,Ireland,West,9/25/15,24,Consulting - Strategy,Consulting,Market Research,Olivia Sullivan,Bob Turner,53,1,78%
2374,17216,5/1/15,5/1/15,7, $880 ,5%, $126 , $835.61 ,Eric Dilbeck,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Hopatcong,07843,UnitedKingdom,West,5/28/15,27,Training - Development,Training,Python,Elizabeth Carter,Bob Turner,52,1,59%
2375,17218,7/1/15,7/1/15,32," $3,999 ",6%, $125 ," $3,759.08 ",Clay Kennedy,Liberty Interactive Corporation,Consumer Services,Catalog/Specialty Distribution,Brooklyn,11226,Portugal,West,7/25/15,24,Development - Python,Development,Python,Isabella Douglas,Bob Turner,75,1,40%
2376,17249,9/1/13,9/1/13,37," $7,536 ",2%, $204 ," $7,385.16 ",Matt Mills,QUALCOMM Incorporated,Technology,Radio And Television Broadcasting And Communications Equipment,Massillon,44646,Spain,West,9/27/13,26,Consulting - Business Model,Consulting,PHP,Daniel Tusk,Bob Turner,45,1,78%
2377,17251,10/1/12,10/1/12,26," $7,598 ",0%, $292 ," $7,598.16 ",Clay Anderson,Lam Research Corporation,Technology,Industrial Machinery/Components,Vancouver,98661,Austria,Central,10/29/12,28,Consulting - Market Research,Consulting,Market Research,Alexander Edison,Josh Martinez,70,1,76%
2378,17252,4/1/14,4/1/14,48," $5,999 ",3%, $125 ," $5,818.57 ",Ivan Wooten,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Kingsville,78363,UnitedKingdom,West,4/30/14,29,Development - Python,Development,Python,Mason Gibson,Bob Turner,71,1,43%
2379,17252,4/1/14,4/1/14,49," $11,591 ",8%, $237 ," $10,663.49 ",Ivan Wooten,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Kingsville,78363,Italy,Central,5/1/14,30,Training - Javascript,Training,Business Model,Liam Franklin,Josh Martinez,52,1,78%
2380,17253,8/1/14,8/1/14,13," $2,525 ",8%, $194 ," $2,323.33 ",Roy Schnelling,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Burien,98146,Greece,South,8/19/14,18,Development - Java,Development,Business Logic,Elizabeth Carter,Frank Mitchell,52,1,73%
2381,17255,7/1/13,7/1/13,17," $5,305 ",9%, $312 ," $4,827.41 ",Dorris Engle,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores,Deer Park,11729,Italy,Central,7/15/13,14,Development - Big Data,Development,Tableau,Jacob Manziel,Josh Martinez,57,1,82%
2382,17282,11/1/12,11/1/12,37," $7,188 ",9%, $194 ," $6,540.67 ",Denise Sievert,"Applied Materials, Inc.",Technology,Semiconductors,Apex,27502,Netherlands,West,11/20/12,19,Development - Java,Development,Scala,Alexander Edison,Bob Turner,70,1,64%
2383,17283,9/1/14,9/1/14,4, $954 ,6%, $239 , $896.97 ,Dorothy Miner,"Charter Communications, Inc.",Consumer Services,Television Services,Rockford,61107,Portugal,West,9/15/14,14,Consulting - Strategy,Consulting,Market Research,William Bufont,Bob Turner,62,1,74%
2384,17286,9/1/13,9/1/13,7, $880 ,9%, $126 , $800.43 ,Muhammed MacIntyre,CA Inc.,Technology,Computer Software: Prepackaged Software,Highland Park,60035,Estonia,North,9/22/13,21,Training - Development,Training,Java,Abigail Young,#N/A,50,1,60%
2385,17287,4/1/14,4/1/14,38," $9,065 ",1%, $239 ," $8,974.50 ",Shui Morse,Liberty Media Corporation,Consumer Services,Broadcasting,Issaquah,98027,Poland,North,4/6/14,5,Consulting - Strategy,Consulting,Market Research,Emily Taylor,#N/A,62,1,74%
2386,17287,4/1/14,4/1/14,11," $3,433 ",6%, $312 ," $3,226.59 ",Shui Morse,Liberty Media Corporation,Consumer Services,Broadcasting,Issaquah,98027,Belgium,West,4/7/14,6,Development - Big Data,Development,Business Model,Isabella Douglas,Bob Turner,75,1,76%
2387,17287,4/1/14,4/1/14,26," $7,598 ",5%, $292 ," $7,218.25 ",Shui Morse,Liberty Media Corporation,Consumer Services,Broadcasting,Kennewick,99336,Belgium,West,4/7/14,6,Consulting - Market Research,Consulting,Market Research,Ethan Bird,Bob Turner,60,1,79%
2388,17312,5/1/14,5/1/14,37," $4,624 ",5%, $125 ," $4,392.67 ",Nancy Halladay,Cerner Corporation,Technology,EDP Services,Hurst,76053,Denmark,West,5/21/14,20,Development - Python,Development,Front End Web,William Bufont,Bob Turner,62,1,50%
2389,17312,5/1/14,5/1/14,41," $11,982 ",0%, $292 ," $11,981.71 ",Nancy Halladay,Cerner Corporation,Technology,EDP Services,Hurst,76053,UnitedKingdom,West,5/21/14,20,Consulting - Market Research,Consulting,Business Model,Isabella Douglas,Bob Turner,75,1,74%
2390,17313,5/1/12,5/1/12,27," $3,374 ",7%, $125 ," $3,137.98 ",Scott Bell,"Fiserv, Inc.",Technology,EDP Services,Louisville,80027,Germany,West,5/9/12,8,Development - Python,Development,Python,Noah Smith,Bob Turner,59,1,53%
2391,17315,4/1/12,4/1/12,29," $3,624 ",7%, $125 ," $3,370.42 ",Joy Moren,"Ross Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,Valparaiso,46383,Cyprus,South,4/26/12,25,Development - Python,Development,Business Model,Abigail Young,Frank Mitchell,50,1,60%
2392,17317,12/1/12,12/1/12,7, $938 ,6%, $134 , $881.50 ,Laurel Stivers,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,East Massapequa,11758,Portugal,West,12/5/12,4,Development - PHP,Development,Front End Web,Michael Alister,Bob Turner,68,1,49%
2393,17344,7/1/13,7/1/13,40," $11,689 ",1%, $292 ," $11,572.58 ",Rob Sissman,"Xilinx, Inc.",Technology,Semiconductors,Madison Heights,48071,Slovenia,Central,7/21/13,20,Consulting - Market Research,Consulting,Python,Alexander Edison,Josh Martinez,70,1,76%
2394,17345,8/1/14,8/1/14,23," $2,874 ",0%, $125 ," $2,874.29 ",Cynthia Kirkland,PACCAR Inc.,Capital Goods,Auto Manufacturing,Smyrna,37167,Malta,South,8/4/14,3,Development - Python,Development,.Net,Daniel Tusk,Frank Mitchell,45,1,64%
2395,17376,12/1/14,12/1/14,44," $8,962 ",10%, $204 ," $8,065.43 ",Joy Moren,"Ross Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,Valparaiso,46383,Poland,North,12/6/14,5,Consulting - Business Model,Consulting,.Net,Madison Hill,#N/A,58,1,72%
2396,17377,10/1/14,10/1/14,39," $5,621 ",5%, $144 ," $5,339.88 ",Erin Dona,KLA-Tencor Corporation,Capital Goods,Electronic Components,Carrollton,75007,Croatia,Central,10/30/14,29,Development - Business Logic,Development,Strategy,Olivia Sullivan,Josh Martinez,53,1,63%
2397,17379,8/1/14,8/1/14,29," $6,234 ",8%, $215 ," $5,735.20 ",Harry Kotsonis,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,Drexel Hill,19026,Poland,North,8/16/14,15,Training - Tableau,Training,Business Logic,Jayden Hamilton,#N/A,71,1,67%
2398,17381,8/1/13,8/1/13,28," $8,939 ",5%, $319 ," $8,491.98 ",Rick Book,Western Digital Corporation,Technology,Electronic Components,Wilson,27893,Malta,South,8/15/13,14,Development - Scala,Development,PHP,Madison Hill,Frank Mitchell,58,1,82%
2399,17382,7/1/14,7/1/14,20," $5,845 ",1%, $292 ," $5,786.29 ",Lena Takahito,DISH Network Corporation,Consumer Services,Television Services,Eastpointe,48021,Finland,North,7/5/14,4,Consulting - Market Research,Consulting,SQL,Noah Smith,#N/A,59,1,80%
2400,17408,5/1/12,5/1/12,26," $5,051 ",5%, $194 ," $4,798.18 ",Berenike Smith,SBA Communications Corporation,Consumer Services,Telecommunications Equipment,Everett,02149,Latvia,North,5/29/12,28,Development - Java,Development,Market Research,Mia Moore,#N/A,51,1,74%
2401,17408,5/1/12,5/1/12,41," $11,982 ",2%, $292 ," $11,742.08 ",Berenike Smith,SBA Communications Corporation,Consumer Services,Telecommunications Equipment,Lewiston,04240,Portugal,West,5/29/12,28,Consulting - Market Research,Consulting,Scala,Jacob Manziel,Bob Turner,57,1,80%
2402,17409,8/1/13,8/1/13,31," $6,314 ",9%, $204 ," $5,745.60 ",Muhammed MacIntyre,CA Inc.,Technology,Computer Software: Prepackaged Software,Highland Park,60035,Estonia,North,8/19/13,18,Consulting - Business Model,Consulting,Python,Liam Franklin,#N/A,52,1,74%
2403,17410,9/1/13,9/1/13,5," $1,461 ",4%, $292 ," $1,402.74 ",Noel Hamilton,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing",Boston,02111,Netherlands,West,9/6/13,5,Consulting - Market Research,Consulting,Python,Jayden Hamilton,Bob Turner,71,1,76%
2404,17410,9/1/13,9/1/13,45," $7,200 ",7%, $160 ," $6,696.25 ",Noel Hamilton,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing",Colchester,05439,Romania,Central,9/6/13,5,Development - Front End Web,Development,Market Research,Liam Franklin,Josh Martinez,52,1,68%
2405,17414,6/1/15,6/1/15,39," $7,943 ",7%, $204 ," $7,387.20 ",Katherine Sewall,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,Kenmore,14217,Netherlands,West,7/1/15,30,Consulting - Business Model,Consulting,Business Model,Emily Taylor,Bob Turner,62,1,70%
2406,17414,6/1/15,6/1/15,32," $3,999 ",10%, $125 ," $3,599.12 ",Katherine Sewall,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,Kenmore,14217,Bulgaria,Central,7/1/15,30,Development - Python,Development,Database,Elizabeth Carter,Josh Martinez,52,1,58%
2407,17445,8/1/14,8/1/14,33," $6,721 ",10%, $204 ," $6,049.07 ",Resi Gonzalez,Symantec Corporation,Technology,Computer Software: Prepackaged Software,Caldwell,83605,Sweden,North,8/24/14,23,Consulting - Business Model,Consulting,Business Model,Elizabeth Carter,#N/A,52,1,74%
2408,17446,6/1/12,6/1/12,15," $2,400 ",0%, $160 ," $2,400.09 ",Ben Blacks,QUALCOMM Incorporated,Technology,Radio And Television Broadcasting And Communications Equipment,Watertown,13601,Cyprus,South,6/11/12,10,Development - Front End Web,Development,SQL,Michael Alister,Frank Mitchell,68,1,58%
2409,17447,5/1/15,5/1/15,42," $5,249 ",1%, $125 ," $5,196.23 ",Carol Weiss,Comcast Corporation,Consumer Services,Television Services,Parker,80134,Slovenia,Central,5/20/15,19,Development - Python,Development,Compensation,Liam Franklin,Josh Martinez,52,1,58%
2410,17506,2/1/13,2/1/13,33," $6,716 ",3%, $204 ," $6,514.58 ",Susan Harms,SanDisk Corporation,Technology,Electronic Components,Mandan,58554,Latvia,North,3/4/13,31,Development - .Net,Development,Database,Madison Hill,#N/A,58,1,72%
2411,17507,6/1/15,6/1/15,27," $5,495 ",4%, $204 ," $5,275.16 ",Lela Demir,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,Southgate,48195,Denmark,West,6/12/15,11,Development - .Net,Development,Development,William Bufont,Bob Turner,62,1,70%
2412,17507,6/1/15,6/1/15,22," $5,248 ",10%, $239 ," $4,723.42 ",Lela Demir,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,Sterling Heights,48310,Italy,Central,6/14/15,13,Consulting - Strategy,Consulting,Business Logic,Daniel Tusk,Josh Martinez,45,1,81%
2413,17508,6/1/15,6/1/15,50," $7,206 ",1%, $144 ," $7,134.26 ",Roy Peterman,Broadcom Corporation,Technology,Semiconductors,Gainesville,32601,Ireland,West,6/29/15,28,Development - Business Logic,Development,Python,Liam Franklin,Bob Turner,52,1,64%
2414,17510,10/1/15,10/1/15,28," $3,751 ",0%, $134 ," $3,751.08 ",Denny Voltz,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing",Woodland,95695,Portugal,West,10/31/15,30,Development - PHP,Development,Front End Web,Mason Gibson,Bob Turner,71,1,47%
2415,17539,9/1/14,9/1/14,28," $6,298 ",8%, $225 ," $5,794.60 ",Pauline MacIntyre,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Roswell,88201,Hungary,Central,9/16/14,15,Training - SQL,Training,Business Model,Abigail Young,Josh Martinez,50,1,78%
2416,17539,9/1/14,9/1/14,10," $2,922 ",10%, $292 ," $2,630.13 ",Pauline MacIntyre,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Roswell,88201,Portugal,West,9/16/14,15,Consulting - Market Research,Consulting,Strategy,Ava Wilson,Bob Turner,67,1,77%
2417,17542,8/1/13,8/1/13,37," $11,812 ",1%, $319 ," $11,694.03 ",Charles Sunley,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software,Santa Clara,95051,Germany,West,9/2/13,32,Development - Scala,Development,Market Research,Ethan Bird,Bob Turner,60,1,81%
2418,17543,5/1/15,5/1/15,1, $125 ,9%, $125 , $113.72 ,Tracy Hale,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Herndon,20170,Italy,Central,5/25/15,24,Development - Python,Development,Big Data,Jacob Manziel,Josh Martinez,57,1,54%
2419,17543,5/1/15,5/1/15,35," $4,374 ",10%, $125 ," $3,936.53 ",Tracy Hale,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Herndon,20170,Estonia,North,5/27/15,26,Development - Python,Development,Scala,Michael Alister,#N/A,68,1,46%
2420,17543,5/1/15,5/1/15,26," $7,598 ",6%, $292 ," $7,142.27 ",Tracy Hale,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software,Herndon,20170,UnitedKingdom,West,5/27/15,26,Consulting - Market Research,Consulting,.Net,Olivia Sullivan,Bob Turner,53,1,82%
2421,17568,10/1/13,10/1/13,31," $6,314 ",0%, $204 ," $6,313.85 ",Brad Fisher,Vodafone Group Plc,Public Utilities,Telecommunications Equipment,Los Altos,94024,Luxembourg,West,10/9/13,8,Consulting - Business Model,Consulting,Market Research,Ethan Bird,Bob Turner,60,1,71%
2422,17571,3/1/15,3/1/15,32," $7,896 ",1%, $247 ," $7,816.92 ",Thomas Ferrer,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,Escondido,92025,Croatia,Central,3/16/15,15,Development - Database,Development,Java,Elizabeth Carter,Josh Martinez,52,1,79%
2423,17571,3/1/15,3/1/15,50," $10,184 ",2%, $204 ," $9,979.95 ",Thomas Ferrer,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,Eureka,95501,Lithuania,North,3/17/15,16,Consulting - Business Model,Consulting,SQL,Olivia Sullivan,#N/A,53,1,74%
2424,17573,9/1/14,9/1/14,23," $5,174 ",2%, $225 ," $5,070.27 ",Clytie Dortch,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Allentown,18103,Sweden,North,9/8/14,7,Training - SQL,Training,Java,Emily Taylor,#N/A,62,1,72%
2425,17573,9/1/14,9/1/14,47," $8,507 ",2%, $181 ," $8,336.85 ",Clytie Dortch,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,West Linn,97068,Denmark,West,9/6/14,5,Consulting - Compensation,Consulting,.Net,Olivia Sullivan,Bob Turner,53,1,71%
2426,17632,2/1/13,2/1/13,38," $9,376 ",10%, $247 ," $8,438.72 ",Liz Overfelt,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Columbia,65203,Lithuania,North,2/22/13,21,Development - Database,Development,Business Model,Ava Wilson,#N/A,67,1,73%
2427,17634,7/1/15,7/1/15,5, $628 ,8%, $126 , $578.02 ,Alan Daly,Avago Technologies Limited,Technology,Semiconductors,Richardson,75080,Slovakia,Central,7/21/15,20,Training - Development,Training,Java,Alexander Edison,Josh Martinez,70,1,44%
